iter	Passed	Remaining
599	15997	10665
600	16032	10643
601	16067	10622
602	16095	10596
603	16124	10571
604	16154	10547
605	16183	10522
606	16215	10498
607	16244	10473
608	16273	10448
609	16304	10424
610	16336	10400
611	16367	10376
612	16398	10352
613	16429	10328
614	16461	10305
615	16494	10282
616	16523	10256
617	16552	10231
618	16583	10207
619	16611	10181
620	16640	10155
621	16670	10130
622	16697	10104
623	16727	10079
624	16756	10053
625	16784	10027
626	16813	10002
627	16843	9977
628	16872	9951
629	16901	9926
630	16927	9899
631	16954	9872
632	16981	9845
633	17011	9820
634	17038	9793
635	17065	9767
636	17091	9739
637	17118	9712
638	17145	9686
639	17172	9659
640	17199	9632
641	17225	9605
642	17253	9579
643	17279	9552
644	17306	9525
645	17334	9499
646	17362	9472
647	17388	9445
648	17415	9419
649	17445	9393
650	17472	9367
651	17500	9340
652	17527	9313
653	17555	9287
654	17583	9261
655	17609	9234
656	17636	9207
657	17665	9181
658	17693	9155
659	17721	9129
660	17751	9103
661	17777	9076
662	17805	9050
663	17833	9024
664	17860	8997
665	17885	8969
666	17912	8942
667	17938	8915
668	17965	8888
669	17991	8861
670	18016	8833
671	18043	8807
672	18069	8779
673	18094	8752
674	18119	8724
675	18145	8697
676	18170	8669
677	18198	8642
678	18224	8615
679	18253	8589
680	18281	8563
681	18309	8537
682	18335	8510
683	18365	8484
684	18395	8459
685	18421	8431
686	18449	8405
687	18476	8378
688	18503	8352
689	18530	8325
690	18558	8298
691	18583	8271
692	18612	8245
693	18638	8218
694	18666	8191
695	18693	8165
696	18720	8138
697	18747	8111
698	18776	8085
699	18804	8058
700	18832	8032
701	18859	8005
702	18886	7979
703	18916	7953
704	18945	7927
705	18972	7900
706	19000	7874
707	19029	7848
708	19058	7822
709	19085	7795
710	19110	7767
711	19137	7740
712	19162	7713
713	19189	7686
714	19216	7659
715	19244	7633
716	19270	7606
717	19298	7579
718	19327	7553
719	19358	7528
720	19385	7501
721	19411	7474
722	19439	7447
723	19464	7420
724	19489	7392
725	19516	7365
726	19543	7338
727	19570	7312
728	19599	7285
729	19625	7258
730	19652	7231
731	19679	7205
732	19707	7178
733	19735	7151
734	19762	7125
735	19788	7097
736	19814	7070
737	19839	7043
738	19866	7016
739	19917	6997
740	19945	6971
741	19975	6945
742	20002	6918
743	20027	6891
744	20054	6864
745	20081	6837
746	20108	6810
747	20134	6783
748	20160	6756
749	20186	6728
750	20211	6701
751	20238	6674
752	20264	6647
753	20305	6624
754	20331	6597
755	20361	6571
756	20388	6544
757	20414	6517
758	20442	6491
759	20469	6464
760	20496	6437
761	20523	6410
762	20549	6382
763	20575	6355
764	20600	6328
765	20626	6301
766	20652	6273
767	20692	6250
768	20719	6223
769	20744	6196
770	20774	6170
771	20801	6143
772	20830	6117
773	20861	6091
774	20891	6065
775	20920	6038
776	20951	6012
777	20977	5985
778	21002	5958
779	21030	5931
780	21058	5905
781	21087	5878
782	21115	5851
783	21144	5825
784	21171	5798
785	21198	5771
786	21227	5745
787	21257	5718
788	21285	5692
789	21312	5665
790	21341	5638
791	21369	5612
792	21396	5585
793	21423	5558
794	21450	5531
795	21478	5504
796	21504	5477
797	21533	5450
798	21563	5424
799	21591	5397
800	21619	5371
801	21646	5344
802	21675	5317
803	21706	5291
804	21733	5264
805	21759	5237
806	21788	5210
807	21815	5183
808	21841	5156
809	21871	5130
810	21899	5103
811	21927	5076
812	21954	5049
813	21984	5023
814	22014	4997
815	22041	4970
816	22069	4943
817	22097	4916
818	22128	4890
819	22157	4863
820	22184	4836
821	22214	4810
822	22248	4784
823	22276	4758
824	22305	4731
825	22334	4704
826	22362	4677
827	22392	4651
828	22422	4625
829	22451	4598
830	22478	4571
831	22505	4544
832	22532	4517
833	22558	4490
834	22583	4462
835	22611	4435
836	22637	4408
837	22662	4381
838	22691	4354
839	22718	4327
840	22746	4300
841	22773	4273
842	22799	4246
843	22825	4218
844	22852	4191
845	22879	4164
846	22906	4137
847	22933	4110
848	22960	4083
849	22986	4056
850	23013	4029
851	23039	4002
852	23066	3975
853	23092	3947
854	23120	3921
855	23146	3893
856	23174	3866
857	23202	3839
858	23227	3812
859	23253	3785
860	23280	3758
861	23307	3731
862	23333	3704
863	23361	3677
864	23386	3649
865	23414	3623
866	23441	3595
867	23466	3568
868	23493	3541
869	23521	3514
870	23549	3487
871	23576	3460
872	23603	3433
873	23630	3406
874	23658	3379
875	23685	3352
876	23712	3325
877	23740	3298
878	23768	3271
879	23794	3244
880	23821	3217
881	23846	3190
882	23873	3163
883	23900	3136
884	23925	3109
885	23952	3081
886	23978	3054
887	24007	3027
888	24034	3000
889	24059	2973
890	24085	2946
891	24112	2919
892	24138	2892
893	24164	2865
894	24190	2837
895	24217	2811
896	24245	2784
897	24277	2757
898	24307	2730
899	24337	2704
900	24367	2677
901	24397	2650
902	24427	2624
903	24457	2597
904	24485	2570
905	24516	2543
906	24546	2516
907	24574	2489
908	24602	2462
909	24630	2435
910	24657	2408
911	24685	2381
912	24719	2355
913	24747	2328
914	24774	2301
915	24817	2275
916	24845	2248
917	24871	2221
918	24897	2194
919	24924	2167
920	24951	2140
921	24975	2112
922	25000	2085
923	25027	2058
924	25055	2031
925	25083	2004
926	25109	1977
927	25135	1950
928	25165	1923
929	25191	1896
930	25218	1869
931	25249	1842
932	25284	1815
933	25312	1788
934	25345	1761
935	25374	1734
936	25403	1708
937	25432	1681
938	25461	1654
939	25490	1627
940	25519	1600
941	25546	1572
942	25574	1545
943	25601	1518
944	25628	1491
945	25655	1464
946	25681	1437
947	25708	1410
948	25737	1383
949	25764	1356
950	25791	1328
951	25818	1301
952	25845	1274
953	25873	1247
954	25902	1220
955	25929	1193
956	25955	1166
957	25982	1139
958	26009	1111
959	26034	1084
960	26062	1057
961	26089	1030
962	26115	1003
963	26142	976
964	26170	949
965	26197	922
966	26224	894
967	26250	867
968	26278	840
969	26305	813
970	26330	786
971	26358	759
972	26385	732
973	26414	705
974	26442	678
975	26470	650
976	26498	623
977	26526	596
978	26553	569
979	26581	542
980	26607	515
981	26635	488
982	26661	461
983	26689	433
984	26716	406
985	26745	379
986	26772	352
987	26799	325
988	26824	298
989	26850	271
990	26876	244
991	26903	216
992	26937	189
993	26965	162
994	26992	135
995	27019	108
996	27046	81
997	27072	54
998	27105	27
999	27136	0
