iter	MultiClass
0	1.832342678
1	1.759185739
2	1.69471449
3	1.644062401
4	1.597970351
5	1.554587351
6	1.522877789
7	1.487764902
8	1.458496101
9	1.434358118
10	1.415783453
11	1.395024746
12	1.375912799
13	1.36011441
14	1.341817988
15	1.325384255
16	1.313419633
17	1.300740419
18	1.292396456
19	1.278632878
20	1.266508816
21	1.257759014
22	1.249138774
23	1.239243102
24	1.229312252
25	1.220716194
26	1.211140768
27	1.203299698
28	1.194409294
29	1.187949873
30	1.182542058
31	1.177627946
32	1.172614651
33	1.163962255
34	1.156636316
35	1.150336453
36	1.14538925
37	1.139335816
38	1.132830523
39	1.128382172
40	1.121159773
41	1.11664008
42	1.112059234
43	1.106837663
44	1.100965089
45	1.097537015
46	1.093101785
47	1.086965863
48	1.082460473
49	1.078829542
50	1.074900942
51	1.070712882
52	1.065973402
53	1.062474256
54	1.058091948
55	1.053817629
56	1.048402966
57	1.042806559
58	1.039125479
59	1.036606408
60	1.031565735
61	1.028465081
62	1.025331038
63	1.022454319
64	1.018905916
65	1.015728848
66	1.011132733
67	1.007821705
68	1.003642298
69	1.001307868
70	0.9983865791
71	0.99581004
72	0.9920771211
73	0.9887490801
74	0.9855129664
75	0.9824462148
76	0.9790073107
77	0.9756142266
78	0.9720617594
79	0.9701331654
80	0.9673743325
81	0.9652944985
82	0.9632616217
83	0.9603968888
84	0.957758693
85	0.9549403997
86	0.9513092062
87	0.948194947
88	0.9442323737
89	0.9424282558
90	0.9383970865
91	0.9354241484
92	0.9332781845
93	0.9306438837
94	0.9285228784
95	0.9254865398
96	0.9230649004
97	0.9200479114
98	0.9177295535
99	0.9143628356
100	0.9114983827
101	0.9090566785
102	0.9066989265
103	0.9041486176
104	0.9010623236
105	0.8997670212
106	0.897460729
107	0.8946839437
108	0.8917923792
109	0.8897665144
110	0.8875586075
111	0.8861125
112	0.8843762739
113	0.8817163902
114	0.8796855735
115	0.8779723644
116	0.8761008194
117	0.8735809078
118	0.8708855209
119	0.8689638246
120	0.8667931736
121	0.8643684146
122	0.862848495
123	0.8607263019
124	0.8592308484
125	0.8560378864
126	0.8547670258
127	0.8524367923
128	0.8504570097
129	0.849015358
130	0.8472791867
131	0.8454931302
132	0.8431595038
133	0.840841756
134	0.8393731043
135	0.8377348826
136	0.8358608762
137	0.8345247343
138	0.8323407164
139	0.8312113252
140	0.829761265
141	0.8282225912
142	0.8272466438
143	0.8262990002
144	0.8248411805
145	0.8223322999
146	0.821063634
147	0.8196280517
148	0.8186505827
149	0.8171614346
150	0.816057065
151	0.814816492
152	0.8136966492
153	0.8117564123
154	0.80988078
155	0.8083783298
156	0.8064660318
157	0.8049163222
158	0.8037501625
159	0.8026785246
160	0.802010595
161	0.8006163051
162	0.799091237
163	0.7981572462
164	0.7966960921
165	0.7956595105
166	0.7946158451
167	0.7936447347
168	0.7922577728
169	0.790411394
170	0.7884869101
171	0.7873191342
172	0.7862967518
173	0.7855181896
174	0.7843112659
175	0.7833424849
176	0.7817471892
177	0.7800857821
178	0.7784694775
179	0.7777542908
180	0.77675757
181	0.7759138685
182	0.7752709054
183	0.7746956096
184	0.7739844657
185	0.7730689873
186	0.7723162945
187	0.7711433868
188	0.7705986507
189	0.7691439449
190	0.7684744356
191	0.7677671788
192	0.7671460914
193	0.7661222278
194	0.7654333079
195	0.764222378
196	0.7631420163
197	0.7616466365
198	0.7609921611
199	0.7601950233
200	0.7594659049
201	0.7584378682
202	0.7574454591
203	0.7561336088
204	0.7548099147
205	0.7541253059
206	0.75277999
207	0.7509835661
208	0.7496642355
209	0.7490658736
210	0.7478746163
211	0.7471713714
212	0.7463074662
213	0.7453453855
214	0.7450611113
215	0.7445902021
216	0.7441390921
217	0.7437526648
218	0.7430810987
219	0.7421044231
220	0.740771356
221	0.740378372
222	0.7397753968
223	0.7374370993
224	0.7368359847
225	0.736278405
226	0.7356327917
227	0.7350440624
228	0.7337369366
229	0.7329841898
230	0.7321736081
231	0.7313234731
232	0.7310239673
233	0.7303565662
234	0.7299400218
235	0.7293649894
236	0.7288584779
237	0.7277697645
238	0.7268042861
239	0.7263328429
240	0.7251054569
241	0.7247651224
242	0.7234492631
243	0.7231851327
244	0.7226092384
245	0.7222007874
246	0.7216462601
247	0.7210024293
248	0.7198528068
249	0.7189172718
250	0.7181921262
251	0.7177801529
252	0.7170755015
253	0.7167135682
254	0.7162250584
255	0.7156915982
256	0.7142464375
257	0.7129085282
258	0.7125042287
259	0.7119143223
260	0.7116028676
261	0.7108254479
262	0.7103453497
263	0.7093393329
264	0.7089317657
265	0.7078255519
266	0.7073130349
267	0.7069530297
268	0.7062336985
269	0.7055538645
270	0.7048989689
271	0.7040830404
272	0.7035642783
273	0.7032044927
274	0.7029459599
275	0.7025491056
276	0.7022164201
277	0.7015649383
278	0.7011233941
279	0.6999184468
